Date,Amount in GBP,Balance,Reference,Description,Transaction Type,Invoices,Receipts,Note,Category
14/11/2024,-40.00,220.52,Ver Adana Ilford,Ver Adana Ilford,Card purchase,,,,Accommodation and meals
02/11/2024,-33.99,,Colony Restaurant,Colony Restaurant,Card purchase,,,,Accommodation and meals
24/10/2024,-65.00,,Ver Adana Ilford,Ver Adana Ilford,Card purchase,,,,
22/10/2024,-5.90,,MI Chaii,MI Chaii,Card purchase,,,,
22/10/2024,-39.00,,Ghost Burgers,Ghost Burgers,Card purchase,,,,
14/10/2024,-46.09,,Invideo Innovation,Invideo Innovation,Card purchase,,,,
04/10/2024,-40.00,,Ver Adana Ilford,Ver Adana Ilford,Card purchase,,,,
18/09/2024,-12.68,,Hafa Cafe S.R.L.,Hafa Cafe S.R.L.,Card purchase,,,,
16/09/2024,-15.22,,Kleopatra Club Torino,Kleopatra Club Torino,Card purchase,,,,
14/09/2024,-68.00,,Adanacuisine,Adanacuisine,Card purchase,,,,
14/09/2024,-45.88,,Invideo Innovation,Invideo Innovation,Card purchase,,,,
27/08/2024,-22.49,,Just Eat,Just Eat,Card purchase,,,,
01/08/2024,-6.99,,Apple Inc.,Apple Inc.,Card purchase,,,,
22/06/2024,-56.79,,Cineworld,Cineworld,Card purchase,,,,
30/04/2024,-37.50,,Fusion Exclusive,Fusion Exclusive,Card purchase,,,,
29/04/2024,-24.45,,Manjaros,Manjaros,Card purchase,,,,
24/04/2024,-35.00,,Cloud City Vapes,Cloud City Vapes,Card purchase,,,,
24/04/2024,-31.00,,Fusion Exclusive,Fusion Exclusive,Card purchase,,,,
23/04/2024,-38.50,,Fusion Exclusive,Fusion Exclusive,Card purchase,,,,
31/03/2024,-110.00,,London Plumbing and He Ilford,London Plumbing and He Ilford,Card purchase,,,,Materials
21/03/2024,-5.00,,Check : Mirza N Baig,Mirza N Baig,Bank transfer,,,,Personal
21/03/2024,1000.00,,Transfer to other : Kemat Consulting Limited,Kemat Consulting Limited,Bank transfer,,,,Transfer from another account
